"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"2","0.000048","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=1 Ack=227 Win=238 Len=0"
"3","0.014611","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"4","0.014656","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=227 Ack=107 Win=205 Len=0"
"5","1.001839","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"6","1.001886","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=107 Ack=453 Win=238 Len=0"
"7","1.015933","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"8","1.015994","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=453 Ack=213 Win=204 Len=0"
"9","1.173714","127.0.0.1","127.0.0.1","OpcUa","133","UA Secure Conversation Message: PublishResponse"
"10","1.173769","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=213 Ack=542 Win=237 Len=0"
"11","1.187680","127.0.0.1","127.0.0.1","OpcUa","142","UA Secure Conversation Message: PublishRequest"
"12","1.187756","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=542 Ack=311 Win=204 Len=0"
"13","1.894468","127.0.0.1","127.0.0.1","OpcUa","208","UA Secure Conversation Message: ReadRequest"
"14","1.894541","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=542 Ack=475 Win=203 Len=0"
"15","1.896695","127.0.0.1","127.0.0.1","OpcUa","143","UA Secure Conversation Message: ReadResponse"
"16","1.896743","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=475 Ack=641 Win=237 Len=0"
"17","2.004503","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"18","2.004565","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=475 Ack=867 Win=236 Len=0"
"19","2.018894","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"20","2.018981","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=867 Ack=581 Win=203 Len=0"
"21","3.003482","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"22","3.003540","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=581 Ack=1093 Win=235 Len=0"
"23","3.018328","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"24","3.018418","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1093 Ack=687 Win=202 Len=0"
"26","3.993355","127.0.0.1","127.0.0.1","OpcUa","266","UA Secure Conversation Message: PublishResponse"
"27","3.993398","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=687 Ack=1315 Win=234 Len=0"
"28","4.001996","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"29","4.002064","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1315 Ack=793 Win=202 Len=0"
"31","5.005348","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"32","5.005394","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=793 Ack=1541 Win=233 Len=0"
"33","5.019213","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"34","5.019277","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1541 Ack=899 Win=202 Len=0"
"36","6.001925","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"37","6.001992","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=899 Ack=1767 Win=232 Len=0"
"38","6.015661","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"39","6.015730","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1767 Ack=1005 Win=201 Len=0"
"40","6.173960","127.0.0.1","127.0.0.1","OpcUa","133","UA Secure Conversation Message: PublishResponse"
"41","6.174038","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=1005 Ack=1856 Win=232 Len=0"
"42","6.184831","127.0.0.1","127.0.0.1","OpcUa","142","UA Secure Conversation Message: PublishRequest"
"43","6.184909","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1856 Ack=1103 Win=201 Len=0"
"44","6.905493","127.0.0.1","127.0.0.1","OpcUa","208","UA Secure Conversation Message: ReadRequest"
"45","6.905553","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1856 Ack=1267 Win=200 Len=0"
"46","6.907443","127.0.0.1","127.0.0.1","OpcUa","143","UA Secure Conversation Message: ReadResponse"
