"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","::1","::1","TLSv1.2","89","Application Data"
"2","0.000086","::1","::1","TCP","64","64964  >  8900 [ACK] Seq=1 Ack=26 Win=222 Len=0"
"3","0.001190","::1","::1","TLSv1.2","93","Application Data"
"4","0.001267","::1","::1","TCP","64","8900  >  64964 [ACK] Seq=26 Ack=30 Win=190 Len=0"
"5","1.970669","127.0.0.1","127.0.0.1","TCP","56","58661  >  53530 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"6","1.971049","127.0.0.1","127.0.0.1","TCP","56","53530  >  58661 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"7","1.971162","127.0.0.1","127.0.0.1","TCP","44","58661  >  53530 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"8","1.971708","127.0.0.1","127.0.0.1","OpcUa","128","Hello message"
"9","1.971764","127.0.0.1","127.0.0.1","TCP","44","53530  >  58661 [ACK] Seq=1 Ack=85 Win=65280 Len=0"
"10","1.974612","127.0.0.1","127.0.0.1","OpcUa","72","Acknowledge message"
"11","1.974698","127.0.0.1","127.0.0.1","TCP","44","58661  >  53530 [ACK] Seq=85 Ack=29 Win=65280 Len=0"
"12","1.975403","127.0.0.1","127.0.0.1","OpcUa","177","OpenSecureChannel message"
"13","1.975482","127.0.0.1","127.0.0.1","TCP","44","53530  >  58661 [ACK] Seq=29 Ack=218 Win=65280 Len=0"
"14","1.976197","127.0.0.1","127.0.0.1","OpcUa","179","OpenSecureChannel message"
"15","1.976248","127.0.0.1","127.0.0.1","TCP","44","58661  >  53530 [ACK] Seq=218 Ack=164 Win=65280 Len=0"
"16","1.976662","127.0.0.1","127.0.0.1","OpcUa","165","UA Secure Conversation Message: GetEndpointsRequest"
"17","1.976722","127.0.0.1","127.0.0.1","TCP","44","53530  >  58661 [ACK] Seq=164 Ack=339 Win=65024 Len=0"
"18","1.978260","127.0.0.1","127.0.0.1","OpcUa","20188","UA Secure Conversation Message: GetEndpointsResponse"
"19","1.978426","127.0.0.1","127.0.0.1","TCP","44","58661  >  53530 [ACK] Seq=339 Ack=20308 Win=45056 Len=0"
"20","1.978960","127.0.0.1","127.0.0.1","OpcUa","101","CloseSecureChannel message: CloseSecureChannelRequest"
"21","1.979019","127.0.0.1","127.0.0.1","TCP","44","53530  >  58661 [ACK] Seq=20308 Ack=396 Win=65024 Len=0"
"22","1.979121","127.0.0.1","127.0.0.1","TCP","44","58661  >  53530 [FIN, ACK] Seq=396 Ack=20308 Win=45056 Len=0"
"23","1.979173","127.0.0.1","127.0.0.1","TCP","44","53530  >  58661 [ACK] Seq=20308 Ack=397 Win=65024 Len=0"
"24","1.981005","127.0.0.1","127.0.0.1","TCP","44","53530  >  58661 [FIN, ACK] Seq=20308 Ack=397 Win=65024 Len=0"
"25","1.981098","127.0.0.1","127.0.0.1","TCP","44","58661  >  53530 [ACK] Seq=397 Ack=20309 Win=45056 Len=0"
"26","2.138363","127.0.0.1","127.0.0.1","TCP","56","58662  >  53530 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"27","2.138505","127.0.0.1","127.0.0.1","TCP","56","53530  >  58662 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"28","2.138588","127.0.0.1","127.0.0.1","TCP","44","58662  >  53530 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"29","2.139184","127.0.0.1","127.0.0.1","OpcUa","128","Hello message"
"30","2.139258","127.0.0.1","127.0.0.1","TCP","44","53530  >  58662 [ACK] Seq=1 Ack=85 Win=65280 Len=0"
"31","2.140861","127.0.0.1","127.0.0.1","OpcUa","72","Acknowledge message"
"32","2.140971","127.0.0.1","127.0.0.1","TCP","44","58662  >  53530 [ACK] Seq=85 Ack=29 Win=65280 Len=0"
"33","2.141106","127.0.0.1","127.0.0.1","OpcUa","177","OpenSecureChannel message"
"34","2.141162","127.0.0.1","127.0.0.1","TCP","44","53530  >  58662 [ACK] Seq=29 Ack=218 Win=65280 Len=0"
"35","2.141987","127.0.0.1","127.0.0.1","OpcUa","179","OpenSecureChannel message"
"36","2.142083","127.0.0.1","127.0.0.1","TCP","44","58662  >  53530 [ACK] Seq=218 Ack=164 Win=65280 Len=0"
"37","2.142532","127.0.0.1","127.0.0.1","OpcUa","423","UA Secure Conversation Message: CreateSessionRequest"
"38","2.142626","127.0.0.1","127.0.0.1","TCP","44","53530  >  58662 [ACK] Seq=164 Ack=597 Win=64768 Len=0"
"39","2.150884","127.0.0.1","127.0.0.1","OpcUa","21331","UA Secure Conversation Message: CreateSessionResponse"
"40","2.151042","127.0.0.1","127.0.0.1","TCP","44","58662  >  53530 [ACK] Seq=597 Ack=21451 Win=44032 Len=0"
"41","2.153475","127.0.0.1","127.0.0.1","OpcUa","193","UA Secure Conversation Message: ActivateSessionRequest"
"42","2.153571","127.0.0.1","127.0.0.1","TCP","44","53530  >  58662 [ACK] Seq=21451 Ack=746 Win=64768 Len=0"
"43","2.155575","127.0.0.1","127.0.0.1","OpcUa","140","UA Secure Conversation Message: ActivateSessionResponse"
"44","2.155658","127.0.0.1","127.0.0.1","TCP","44","58662  >  53530 [ACK] Seq=746 Ack=21547 Win=43776 Len=0"
"45","2.155959","127.0.0.1","127.0.0.1","OpcUa","190","UA Secure Conversation Message: ReadRequest"
"46","2.156025","127.0.0.1","127.0.0.1","TCP","44","53530  >  58662 [ACK] Seq=21547 Ack=892 Win=64512 Len=0"
"47","2.158978","127.0.0.1","127.0.0.1","OpcUa","116","UA Secure Conversation Message: ReadResponse"
"48","2.159072","127.0.0.1","127.0.0.1","TCP","44","58662  >  53530 [ACK] Seq=892 Ack=21619 Win=43776 Len=0"
"49","2.159464","127.0.0.1","127.0.0.1","OpcUa","496","UA Secure Conversation Message: ReadRequest"
"50","2.159530","127.0.0.1","127.0.0.1","TCP","44","53530  >  58662 [ACK] Seq=21619 Ack=1344 Win=64000 Len=0"
"51","2.162165","127.0.0.1","127.0.0.1","OpcUa","565","UA Secure Conversation Message: ReadResponse"
"52","2.162255","127.0.0.1","127.0.0.1","TCP","44","58662  >  53530 [ACK] Seq=1344 Ack=22140 Win=43264 Len=0"
"53","2.176872","127.0.0.1","127.0.0.1","OpcUa","172","UA Secure Conversation Message: ReadRequest"
"54","2.176957","127.0.0.1","127.0.0.1","TCP","44","53530  >  58662 [ACK] Seq=22140 Ack=1472 Win=64000 Len=0"
"55","2.178759","127.0.0.1","127.0.0.1","OpcUa","107","UA Secure Conversation Message: ReadResponse"
"56","2.178891","127.0.0.1","127.0.0.1","TCP","44","58662  >  53530 [ACK] Seq=1472 Ack=22203 Win=43264 Len=0"
"57","2.179230","127.0.0.1","127.0.0.1","OpcUa","160","UA Secure Conversation Message: CreateSubscriptionRequest"
"58","2.179272","127.0.0.1","127.0.0.1","TCP","44","53530  >  58662 [ACK] Seq=22203 Ack=1588 Win=63744 Len=0"
"59","2.184913","127.0.0.1","127.0.0.1","OpcUa","116","UA Secure Conversation Message: CreateSubscriptionResponse"
"60","2.184988","127.0.0.1","127.0.0.1","TCP","44","58662  >  53530 [ACK] Seq=1588 Ack=22275 Win=43008 Len=0"
"61","2.185347","127.0.0.1","127.0.0.1","OpcUa","320","UA Secure Conversation Message: CreateMonitoredItemsRequest"
"62","2.185389","127.0.0.1","127.0.0.1","TCP","44","53530  >  58662 [ACK] Seq=22275 Ack=1864 Win=63488 Len=0"
"63","2.187752","127.0.0.1","127.0.0.1","OpcUa","182","UA Secure Conversation Message: CreateMonitoredItemsResponse"
"64","2.187817","127.0.0.1","127.0.0.1","TCP","44","58662  >  53530 [ACK] Seq=1864 Ack=22413 Win=43008 Len=0"
