"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"2","0.000058","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1 Ack=107 Win=187 Len=0"
"3","0.157691","127.0.0.1","127.0.0.1","OpcUa","133","UA Secure Conversation Message: PublishResponse"
"4","0.157734","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=107 Ack=90 Win=140 Len=0"
"5","0.171818","127.0.0.1","127.0.0.1","OpcUa","142","UA Secure Conversation Message: PublishRequest"
"6","0.171911","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=90 Ack=205 Win=187 Len=0"
"7","0.985258","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"8","0.985321","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=205 Ack=316 Win=139 Len=0"
"9","1.000230","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"10","1.000304","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=316 Ack=311 Win=186 Len=0"
"11","1.325743","127.0.0.1","127.0.0.1","OpcUa","208","UA Secure Conversation Message: ReadRequest"
"12","1.325819","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=316 Ack=475 Win=186 Len=0"
"13","1.327964","127.0.0.1","127.0.0.1","OpcUa","143","UA Secure Conversation Message: ReadResponse"
"14","1.328034","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=475 Ack=415 Win=138 Len=0"
"15","1.982346","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"16","1.982396","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=475 Ack=641 Win=137 Len=0"
"17","1.996143","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"18","1.996187","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=641 Ack=581 Win=185 Len=0"
"19","2.992021","127.0.0.1","127.0.0.1","OpcUa","236","UA Secure Conversation Message: PublishResponse"
"20","2.992117","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=581 Ack=833 Win=137 Len=0"
"21","3.006052","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"22","3.006130","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=833 Ack=687 Win=185 Len=0"
"23","3.992227","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"24","3.992292","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=687 Ack=1059 Win=136 Len=0"
"25","4.006535","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"26","4.006617","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1059 Ack=793 Win=185 Len=0"
"27","4.994020","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"28","4.994075","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=793 Ack=1285 Win=135 Len=0"
"29","5.008500","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"30","5.008578","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1285 Ack=899 Win=184 Len=0"
"31","5.164432","127.0.0.1","127.0.0.1","OpcUa","133","UA Secure Conversation Message: PublishResponse"
"32","5.164467","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=899 Ack=1374 Win=135 Len=0"
"33","5.179468","127.0.0.1","127.0.0.1","OpcUa","142","UA Secure Conversation Message: PublishRequest"
"34","5.179542","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1374 Ack=997 Win=184 Len=0"
"35","5.993508","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"36","5.993567","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=997 Ack=1600 Win=134 Len=0"
"37","6.007298","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"38","6.007344","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1600 Ack=1103 Win=183 Len=0"
"39","6.332037","127.0.0.1","127.0.0.1","OpcUa","160","UA Secure Conversation Message: WriteRequest"
"40","6.332112","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1600 Ack=1219 Win=183 Len=0"
"41","6.334065","127.0.0.1","127.0.0.1","OpcUa","108","UA Secure Conversation Message: WriteResponse"
"42","6.334110","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=1219 Ack=1664 Win=133 Len=0"
"43","6.335443","127.0.0.1","127.0.0.1","OpcUa","208","UA Secure Conversation Message: ReadRequest"
"44","6.335507","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1664 Ack=1383 Win=182 Len=0"
"45","6.337479","127.0.0.1","127.0.0.1","OpcUa","143","UA Secure Conversation Message: ReadResponse"
"46","6.337540","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=1383 Ack=1763 Win=133 Len=0"
"47","6.990599","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
