"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"2","0.000063","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=1 Ack=227 Win=129 Len=0"
"3","0.013809","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"4","0.013896","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=227 Ack=107 Win=136 Len=0"
"5","0.170559","127.0.0.1","127.0.0.1","OpcUa","133","UA Secure Conversation Message: PublishResponse"
"6","0.170633","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=107 Ack=316 Win=128 Len=0"
"7","0.184769","127.0.0.1","127.0.0.1","OpcUa","142","UA Secure Conversation Message: PublishRequest"
"8","0.184815","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=316 Ack=205 Win=135 Len=0"
"9","0.998214","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"10","0.998272","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=205 Ack=542 Win=255 Len=0"
"11","1.012659","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"12","1.012743","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=542 Ack=311 Win=135 Len=0"
"13","1.123445","127.0.0.1","127.0.0.1","OpcUa","208","UA Secure Conversation Message: ReadRequest"
"14","1.123512","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=542 Ack=475 Win=134 Len=0"
"15","1.124884","127.0.0.1","127.0.0.1","OpcUa","143","UA Secure Conversation Message: ReadResponse"
"16","1.124919","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=475 Ack=641 Win=255 Len=0"
"17","2.000463","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"18","2.000527","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=475 Ack=867 Win=254 Len=0"
"19","2.014211","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"20","2.014248","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=867 Ack=581 Win=134 Len=0"
"21","2.997954","127.0.0.1","127.0.0.1","OpcUa","266","UA Secure Conversation Message: PublishResponse"
"22","2.998039","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=581 Ack=1089 Win=253 Len=0"
"23","3.012197","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"24","3.012239","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1089 Ack=687 Win=133 Len=0"
"25","4.010390","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"26","4.010434","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=687 Ack=1315 Win=252 Len=0"
"27","4.024791","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"28","4.024859","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1315 Ack=793 Win=133 Len=0"
"29","5.008467","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"30","5.008536","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=793 Ack=1541 Win=252 Len=0"
"31","5.022511","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"32","5.022592","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1541 Ack=899 Win=133 Len=0"
"33","5.180643","127.0.0.1","127.0.0.1","OpcUa","133","UA Secure Conversation Message: PublishResponse"
"34","5.180710","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=899 Ack=1630 Win=251 Len=0"
"35","5.194726","127.0.0.1","127.0.0.1","OpcUa","142","UA Secure Conversation Message: PublishRequest"
"36","5.194799","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1630 Ack=997 Win=132 Len=0"
"37","6.006257","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"38","6.006325","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=997 Ack=1856 Win=250 Len=0"
"39","6.020173","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"40","6.020239","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1856 Ack=1103 Win=132 Len=0"
"41","6.128693","127.0.0.1","127.0.0.1","OpcUa","208","UA Secure Conversation Message: ReadRequest"
"42","6.128783","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=1856 Ack=1267 Win=131 Len=0"
"43","6.131029","127.0.0.1","127.0.0.1","OpcUa","143","UA Secure Conversation Message: ReadResponse"
"44","6.131095","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=1267 Ack=1955 Win=250 Len=0"
"45","7.007295","127.0.0.1","127.0.0.1","OpcUa","270","UA Secure Conversation Message: PublishResponse"
"46","7.007353","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=1267 Ack=2181 Win=249 Len=0"
"47","7.021222","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"48","7.021311","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=2181 Ack=1373 Win=131 Len=0"
"49","7.945580","127.0.0.1","127.0.0.1","OpcUa","160","UA Secure Conversation Message: WriteRequest"
"50","7.945667","127.0.0.1","127.0.0.1","TCP","44","53530  >  61053 [ACK] Seq=2181 Ack=1489 Win=130 Len=0"
"51","7.947594","127.0.0.1","127.0.0.1","OpcUa","108","UA Secure Conversation Message: WriteResponse"
"52","7.947656","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=1489 Ack=2245 Win=249 Len=0"
"53","8.007842","127.0.0.1","127.0.0.1","OpcUa","236","UA Secure Conversation Message: PublishResponse"
"54","8.007880","127.0.0.1","127.0.0.1","TCP","44","61053  >  53530 [ACK] Seq=1489 Ack=2437 Win=248 Len=0"
