"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","56","53891  >  53530 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"2","0.000153100","127.0.0.1","127.0.0.1","TCP","56","53530  >  53891 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"3","0.000232400","127.0.0.1","127.0.0.1","TCP","44","53891  >  53530 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"4","0.000793300","127.0.0.1","127.0.0.1","OpcUa","128","Hello message"
"5","0.000848000","127.0.0.1","127.0.0.1","TCP","44","53530  >  53891 [ACK] Seq=1 Ack=85 Win=65280 Len=0"
"6","0.003023700","127.0.0.1","127.0.0.1","OpcUa","72","Acknowledge message"
"7","0.003100500","127.0.0.1","127.0.0.1","TCP","44","53891  >  53530 [ACK] Seq=85 Ack=29 Win=65280 Len=0"
"8","0.003245400","127.0.0.1","127.0.0.1","OpcUa","177","OpenSecureChannel message"
"9","0.003286400","127.0.0.1","127.0.0.1","TCP","44","53530  >  53891 [ACK] Seq=29 Ack=218 Win=65280 Len=0"
"10","0.003705000","127.0.0.1","127.0.0.1","OpcUa","179","OpenSecureChannel message"
"11","0.003737800","127.0.0.1","127.0.0.1","TCP","44","53891  >  53530 [ACK] Seq=218 Ack=164 Win=65280 Len=0"
"12","0.004071600","127.0.0.1","127.0.0.1","OpcUa","165","UA Secure Conversation Message: GetEndpointsRequest"
"13","0.004122700","127.0.0.1","127.0.0.1","TCP","44","53530  >  53891 [ACK] Seq=164 Ack=339 Win=65024 Len=0"
"14","0.006317700","127.0.0.1","127.0.0.1","OpcUa","20188","UA Secure Conversation Message: GetEndpointsResponse"
"15","0.006477200","127.0.0.1","127.0.0.1","TCP","44","53891  >  53530 [ACK] Seq=339 Ack=20308 Win=45056 Len=0"
"16","0.006917100","127.0.0.1","127.0.0.1","OpcUa","101","CloseSecureChannel message: CloseSecureChannelRequest"
"17","0.006967200","127.0.0.1","127.0.0.1","TCP","44","53530  >  53891 [ACK] Seq=20308 Ack=396 Win=65024 Len=0"
"18","0.007003300","127.0.0.1","127.0.0.1","TCP","44","53891  >  53530 [FIN, ACK] Seq=396 Ack=20308 Win=45056 Len=0"
"19","0.007098500","127.0.0.1","127.0.0.1","TCP","44","53530  >  53891 [ACK] Seq=20308 Ack=397 Win=65024 Len=0"
"20","0.008130100","127.0.0.1","127.0.0.1","TCP","44","53530  >  53891 [FIN, ACK] Seq=20308 Ack=397 Win=65024 Len=0"
"21","0.008265800","127.0.0.1","127.0.0.1","TCP","44","53891  >  53530 [ACK] Seq=397 Ack=20309 Win=45056 Len=0"
"22","0.173574400","127.0.0.1","127.0.0.1","TCP","56","53892  >  53530 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"23","0.173751100","127.0.0.1","127.0.0.1","TCP","56","53530  >  53892 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"24","0.173873100","127.0.0.1","127.0.0.1","TCP","44","53892  >  53530 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"25","0.174569800","127.0.0.1","127.0.0.1","OpcUa","128","Hello message"
"26","0.174646900","127.0.0.1","127.0.0.1","TCP","44","53530  >  53892 [ACK] Seq=1 Ack=85 Win=65280 Len=0"
"27","0.176474900","127.0.0.1","127.0.0.1","OpcUa","72","Acknowledge message"
"28","0.176546800","127.0.0.1","127.0.0.1","TCP","44","53892  >  53530 [ACK] Seq=85 Ack=29 Win=65280 Len=0"
"29","0.176735800","127.0.0.1","127.0.0.1","OpcUa","177","OpenSecureChannel message"
"30","0.176779100","127.0.0.1","127.0.0.1","TCP","44","53530  >  53892 [ACK] Seq=29 Ack=218 Win=65280 Len=0"
"31","0.177286100","127.0.0.1","127.0.0.1","OpcUa","179","OpenSecureChannel message"
